experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,response.keys,response.rt,break_key.keys,break_key.rt,closing_key.keys,closing_key.rt,date,frameRate,expName,session,participant,
,,,,space,97.756346941,,,,,,,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,8.85754990578,1,1,1,107.820873022,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,3.58715009689,1,2,1,111.408137083,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,2.61944198608,1,3,1,114.027358055,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,3.80254888535,1,4,1,117.831391096,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,1.06901407242,1,5,1,118.899250984,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,2.35239601135,1,6,1,121.251868963,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.17229700089,2,7,1,126.424008131,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.97168803215,2,8,1,131.395831108,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,3.73599600792,2,9,1,135.133172035,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.8738629818,3,10,1,141.006076097,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,9.3754940033,4,11,1,150.382503986,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,21.2902898788,5,12,1,171.671548128,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,25.159840107,6,13,1,196.831357956,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.87406587601,7,14,1,203.705104113,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,2.75255894661,7,15,1,206.458171129,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.0867331028,7,16,1,210.545683146,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.57380390167,8,17,1,216.118103981,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.80537414551,8,18,1,220.923243046,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.83881306648,9,19,1,226.762676954,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.60520100594,9,20,1,231.367664099,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.10410284996,10,21,1,236.47300005,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.78962612152,10,22,1,241.261474133,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,1.41812682152,10,23,1,242.679406166,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.3197851181,10,24,1,247.000831127,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.72536897659,11,25,1,253.724442005,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.72089409828,12,26,1,259.446779013,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,3.37289381027,12,27,1,262.833996058,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.20186305046,12,28,1,267.021728039,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.33779501915,12,29,1,271.359801054,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.93969893456,12,30,1,276.298340082,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.68939399719,13,31,1,282.988700151,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,1.48583316803,13,32,1,284.473302126,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.15503287315,13,33,1,288.627868176,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,7.6064209938,14,34,1,296.235980034,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.50684094429,15,35,1,301.741752148,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.88765907288,15,36,1,306.630175114,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.989839077,15,37,1,311.618267059,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.57219290733,16,38,1,317.191395044,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.90649795532,17,39,1,323.09703517,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.08842015266,18,40,1,329.187101126,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.13990688324,19,41,1,334.325953007,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.05422496796,20,42,1,339.38123703,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.55683612823,21,43,1,344.937021017,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,3.70398402214,21,44,1,348.641222,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,7.69029784203,22,45,1,356.331983089,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.42340707779,23,46,1,362.755825043,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,4.83843207359,23,47,1,367.594235182,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.54070401192,24,48,1,373.133361101,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.00630092621,25,49,1,379.139737129,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,6.02314901352,26,50,1,385.162737131,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
0,0,0,0,,,5.8561630249,27,51,1,391.018905163,5,,,,,,,2017_Aug_01_1043,59.8959536747,DRL_task,1,105,
