experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.thisTrial,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,date,frameRate,expName,session,participant,
,,,,,space,0.921808004379,,,,,,,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.85005688667,1,1,1,8.99334788322,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.1485209465,2,2,1,16.1419401169,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.24713206291,3,3,1,23.3907220364,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.8144800663,4,4,1,30.2052369118,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.76441788673,5,5,1,36.9696650505,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.66423416138,6,6,1,43.6339139938,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.7617919445,6,7,1,48.3943119049,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.21385192871,7,8,1,55.6095039845,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.04581594467,8,9,1,60.6536231041,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.29718804359,9,10,1,67.9525089264,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.44923710823,10,11,1,75.401804924,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,8.43485689163,11,12,1,83.8363859653,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.08326506615,12,13,1,90.9181959629,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.97551703453,12,14,1,95.8954401016,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.41148591042,13,15,1,101.307010889,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.21081900597,13,16,1,105.515988111,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.50963306427,13,17,1,110.02558589,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.79390406609,14,18,1,115.821279049,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.41577196121,15,19,1,123.23712492,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,8.20090794563,16,20,1,131.437863111,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.76611590385,17,21,1,138.20232296,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,3.45743608475,17,22,1,141.659758091,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.19265699387,18,23,1,146.854159117,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.48004794121,19,24,1,152.332509995,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.99403500557,19,25,1,157.326412916,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.89389204979,19,26,1,162.220540047,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.44525098801,20,27,1,168.667381048,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.964854002,21,28,1,175.632221937,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.24665904045,22,29,1,181.878859997,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,6.16484189034,23,30,1,188.042045116,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.80897402763,23,31,1,192.85225296,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,2.89091706276,23,32,1,195.741780043,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.29063105583,23,33,1,200.034277916,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.34486699104,24,34,1,205.37928009,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.71383285522,25,35,1,211.091216087,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.28221702576,26,36,1,218.373317957,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.66054201126,27,37,1,224.035471916,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.82896399498,28,38,1,229.864605904,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,5.67869901657,29,39,1,235.543386936,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.39447808266,29,40,1,239.936096907,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,4.82693505287,29,41,1,244.763031006,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
0,0,0,0,None,,,7.04664683342,30,42,1,251.811418056,5,2016_Mar_14_1232,59.8748344068,DRL_task,001,DMF,
