8.9620 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10ea5fa28>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9620 	EXP 	window1: recordFrameIntervals = False
9.1279 	EXP 	window1: recordFrameIntervals = True
9.3118 	EXP 	window1: recordFrameIntervals = False
9.4060 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"Yo, here's the expt.", units=u'norm', win=Window(...), wrapWidth=1)
9.4121 	EXP 	Created fixation_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixation_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
9.4236 	EXP 	Created feedback_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_txt', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
9.4301 	EXP 	Created break_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='break_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
9.4377 	EXP 	Created closing_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='closing_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"G'bye", units=u'norm', win=Window(...), wrapWidth=1)
9.4619 	EXP 	instructions_text: autoDraw = True
10.3832 	DATA 	Keypress: space
11.8225 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
12.5663 	EXP 	New trial (rep=0, index=0): None
12.5853 	EXP 	instructions_text: autoDraw = False
12.5853 	EXP 	fixation_txt: autoDraw = True
12.5853 	EXP 	feedback_txt: autoDraw = True
18.4160 	DATA 	Keypress: space
25.5645 	DATA 	Keypress: space
32.8003 	DATA 	Keypress: space
39.6159 	DATA 	Keypress: space
46.3803 	DATA 	Keypress: space
53.0430 	DATA 	Keypress: space
57.8166 	DATA 	Keypress: space
65.0189 	DATA 	Keypress: space
70.0763 	DATA 	Keypress: space
77.3631 	DATA 	Keypress: space
84.8132 	DATA 	Keypress: space
93.2460 	DATA 	Keypress: space
100.3408 	DATA 	Keypress: space
105.3050 	DATA 	Keypress: space
110.7164 	DATA 	Keypress: space
114.9386 	DATA 	Keypress: space
119.4483 	DATA 	Keypress: space
125.2312 	DATA 	Keypress: space
132.6465 	DATA 	Keypress: space
140.8475 	DATA 	Keypress: space
147.6250 	DATA 	Keypress: space
151.0824 	DATA 	Keypress: space
156.2637 	DATA 	Keypress: space
161.7551 	DATA 	Keypress: space
166.7491 	DATA 	Keypress: space
171.6430 	DATA 	Keypress: space
178.0795 	DATA 	Keypress: space
185.0418 	DATA 	Keypress: space
191.2885 	DATA 	Keypress: space
197.4646 	DATA 	Keypress: space
202.2618 	DATA 	Keypress: space
205.1644 	DATA 	Keypress: space
209.4439 	DATA 	Keypress: space
214.7934 	DATA 	Keypress: space
220.5139 	DATA 	Keypress: space
227.7960 	DATA 	Keypress: space
233.4476 	DATA 	Keypress: space
239.2741 	DATA 	Keypress: space
244.9548 	DATA 	Keypress: space
249.3588 	DATA 	Keypress: space
254.1856 	DATA 	Keypress: space
261.2237 	DATA 	Keypress: space
262.0730 	DATA 	Keypress: escape
