6.5384 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10fc9fa28>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.5385 	EXP 	window1: recordFrameIntervals = False
6.7044 	EXP 	window1: recordFrameIntervals = True
6.8883 	EXP 	window1: recordFrameIntervals = False
6.9532 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"Yo, here's the expt.", units=u'norm', win=Window(...), wrapWidth=1)
6.9592 	EXP 	Created fixation_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixation_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
6.9708 	EXP 	Created feedback_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_txt', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.9771 	EXP 	Created break_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='break_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.9873 	EXP 	Created closing_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='closing_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"G'bye", units=u'norm', win=Window(...), wrapWidth=1)
7.0050 	EXP 	instructions_text: autoDraw = True
8.5277 	DATA 	Keypress: space
9.9672 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
10.7799 	EXP 	New trial (rep=0, index=0): None
10.7964 	EXP 	instructions_text: autoDraw = False
10.7964 	EXP 	fixation_txt: autoDraw = True
10.7964 	EXP 	feedback_txt: autoDraw = True
15.5415 	DATA 	Keypress: space
21.4073 	DATA 	Keypress: space
26.5151 	DATA 	Keypress: space
32.0433 	DATA 	Keypress: space
38.0227 	DATA 	Keypress: space
44.0189 	DATA 	Keypress: space
49.3849 	DATA 	Keypress: space
54.6750 	DATA 	Keypress: space
59.5687 	DATA 	Keypress: space
66.5170 	DATA 	Keypress: space
74.0998 	DATA 	Keypress: space
81.0042 	DATA 	Keypress: space
88.2965 	DATA 	Keypress: space
93.9638 	DATA 	Keypress: space
99.4706 	DATA 	Keypress: space
105.7507 	DATA 	Keypress: space
111.8195 	DATA 	Keypress: space
117.9300 	DATA 	Keypress: space
124.3773 	DATA 	Keypress: space
131.8563 	DATA 	Keypress: space
138.1538 	DATA 	Keypress: space
142.8130 	DATA 	Keypress: space
149.0598 	DATA 	Keypress: space
156.3121 	DATA 	Keypress: space
162.9462 	DATA 	Keypress: space
170.3550 	DATA 	Keypress: space
178.3556 	DATA 	Keypress: space
185.6210 	DATA 	Keypress: space
194.6271 	DATA 	Keypress: space
201.4715 	DATA 	Keypress: space
204.6650 	DATA 	Keypress: space
209.3049 	DATA 	Keypress: space
215.7521 	DATA 	Keypress: space
222.2194 	DATA 	Keypress: space
228.2788 	DATA 	Keypress: space
229.3473 	DATA 	Keypress: escape
