6.4611 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10fe66a28>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4611 	EXP 	window1: recordFrameIntervals = False
6.6270 	EXP 	window1: recordFrameIntervals = True
6.8111 	EXP 	window1: recordFrameIntervals = False
6.8762 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"Yo, here's the expt.", units=u'norm', win=Window(...), wrapWidth=1)
6.8822 	EXP 	Created fixation_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixation_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
6.8936 	EXP 	Created feedback_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_txt', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.9011 	EXP 	Created break_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='break_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.9085 	EXP 	Created closing_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='closing_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"G'bye", units=u'norm', win=Window(...), wrapWidth=1)
6.9276 	EXP 	instructions_text: autoDraw = True
9.2853 	DATA 	Keypress: space
10.7280 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
11.4766 	EXP 	New trial (rep=0, index=0): None
11.5040 	EXP 	instructions_text: autoDraw = False
11.5040 	EXP 	fixation_txt: autoDraw = True
11.5040 	EXP 	feedback_txt: autoDraw = True
17.7690 	DATA 	Keypress: space
24.0872 	DATA 	Keypress: space
30.0286 	DATA 	Keypress: space
36.8931 	DATA 	Keypress: space
43.6112 	DATA 	Keypress: space
50.0378 	DATA 	Keypress: space
55.9505 	DATA 	Keypress: space
62.3975 	DATA 	Keypress: space
68.2942 	DATA 	Keypress: space
74.9243 	DATA 	Keypress: space
82.7278 	DATA 	Keypress: space
91.0261 	DATA 	Keypress: space
96.7208 	DATA 	Keypress: space
102.4500 	DATA 	Keypress: space
107.7610 	DATA 	Keypress: space
114.1617 	DATA 	Keypress: space
120.1616 	DATA 	Keypress: space
125.6860 	DATA 	Keypress: space
131.9303 	DATA 	Keypress: space
137.6414 	DATA 	Keypress: space
143.8046 	DATA 	Keypress: space
149.6513 	DATA 	Keypress: space
155.4496 	DATA 	Keypress: space
162.4611 	DATA 	Keypress: space
168.3271 	DATA 	Keypress: space
174.2586 	DATA 	Keypress: space
179.0299 	DATA 	Keypress: space
184.5258 	DATA 	Keypress: space
190.6712 	DATA 	Keypress: space
198.2774 	DATA 	Keypress: space
204.1567 	DATA 	Keypress: space
204.9179 	DATA 	Keypress: escape
