trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,Fixed_Interval_Loop.thisRepN,Fixed_Interval_Loop.thisTrialN,Fixed_Interval_Loop.thisN,Fixed_Interval_Loop.thisIndex,Peak_Interval_Loop.thisRepN,Peak_Interval_Loop.thisTrialN,Peak_Interval_Loop.thisN,Peak_Interval_Loop.thisIndex,feedback_Loop.thisRepN,feedback_Loop.thisTrialN,feedback_Loop.thisN,feedback_Loop.thisIndex,Break_Loop.thisRepN,Break_Loop.thisTrialN,Break_Loop.thisN,Break_Loop.thisIndex,Fixed_Interval_Loop.thisTrial,instructions_key.keys,instructions_key.rt,fixed_response.keys,fixed_response.rt,trial_number,is_fi_trial,is_pi_trial,response_time,score,total_score,reward,cost,peak_response.keys,peak_response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,space,3.97497391701,,,,,,,,,,,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
0,0,0,0,None,0,0,0,0,,,,,,,,,,,,,None,,,['space'],[4.634059906005859],,,,,,,,,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,4.63405990601,1,1,1,0.1,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
1,0,1,0,None,0,0,0,0,,,,,,,,,,,,,None,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.00025010108947753906, 0.9376120567321777, 1.4386961460113525, 2.474379062652588, 2.689674139022827, 2.856729030609131, 2.9920871257781982, 3.710357189178467]",,,,,,,,,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,2,1,False,0.000250101089478,0.3,1.3,1,0.1,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,2,1,False,0.937612056732,0.3,1.3,1,0.1,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,2,1,False,1.43869614601,0.3,1.3,1,0.1,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,2,1,False,2.47437906265,0.3,1.3,1,0.1,,,2016_May_04_1257,59.8530467331,Peak_procedure,001,DMF,
