20.7850 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10fc53320>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.7850 	EXP 	window1: recordFrameIntervals = False
20.9509 	EXP 	window1: recordFrameIntervals = True
21.1348 	EXP 	window1: recordFrameIntervals = False
21.4337 	EXP 	Created instructions_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Here be the task', units=u'norm', win=Window(...), wrapWidth=1)
21.4409 	EXP 	Created fixed_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixed_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
21.4463 	EXP 	Created peak_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='peak_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
21.4571 	EXP 	Created feedback_score = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_score', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
21.4635 	EXP 	Created break_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='break_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
21.4853 	EXP 	instructions_txt: autoDraw = True
26.0995 	DATA 	Keypress: space
27.5290 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
28.2944 	EXP 	New trial (rep=0, index=0): None
28.2945 	EXP 	window1: recordFrameIntervals = False
28.2945 	EXP 	window1: recordFrameIntervals = False
28.2999 	EXP 	instructions_txt: autoDraw = False
28.2999 	EXP 	window1: recordFrameIntervals = False
29.0733 	EXP 	window1: recordFrameIntervals = False
29.0734 	WARNING 	We overshot the intended duration of ITI_isi by 0.2788s. The intervening code took too long to execute.
29.0740 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
29.0743 	EXP 	New trial (rep=0, index=0): None
29.0848 	EXP 	fixed_fixation: autoDraw = True
31.0906 	DATA 	Keypress: space
31.2926 	DATA 	Keypress: space
31.4749 	DATA 	Keypress: space
31.6590 	DATA 	Keypress: space
32.1428 	DATA 	Keypress: space
32.1594 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
32.1597 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
32.1600 	EXP 	New trial (rep=0, index=0): None
32.1915 	EXP 	fixed_fixation: autoDraw = False
32.1915 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 0.6'
32.1915 	EXP 	feedback_score: autoDraw = True
32.2766 	DATA 	Keypress: space
33.1609 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
33.9553 	EXP 	New trial (rep=1, index=0): None
33.9554 	EXP 	window1: recordFrameIntervals = False
33.9554 	EXP 	window1: recordFrameIntervals = False
33.9618 	EXP 	feedback_score: autoDraw = False
33.9619 	EXP 	window1: recordFrameIntervals = False
35.1031 	EXP 	window1: recordFrameIntervals = False
35.1031 	WARNING 	We overshot the intended duration of ITI_isi by 0.6476s. The intervening code took too long to execute.
35.1037 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
35.1040 	EXP 	New trial (rep=0, index=0): None
35.1144 	EXP 	fixed_fixation: autoDraw = True
37.1872 	DATA 	Keypress: space
37.4041 	DATA 	Keypress: space
37.5545 	DATA 	Keypress: space
38.0555 	DATA 	Keypress: space
38.2392 	DATA 	Keypress: space
38.2556 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
38.2559 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
38.2562 	EXP 	New trial (rep=0, index=0): None
38.2878 	EXP 	fixed_fixation: autoDraw = False
38.2878 	EXP 	feedback_score: text = 'Your trial score is 0.5. \nYour total score is 1.1'
38.2878 	EXP 	feedback_score: autoDraw = True
39.2572 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
40.0218 	EXP 	New trial (rep=2, index=0): None
40.0219 	EXP 	window1: recordFrameIntervals = False
40.0219 	EXP 	window1: recordFrameIntervals = False
40.0416 	EXP 	feedback_score: autoDraw = False
40.0416 	EXP 	window1: recordFrameIntervals = False
41.3013 	EXP 	window1: recordFrameIntervals = False
41.3013 	WARNING 	We overshot the intended duration of ITI_isi by 0.7794s. The intervening code took too long to execute.
41.3019 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
41.3022 	EXP 	New trial (rep=0, index=0): None
41.3108 	EXP 	fixed_fixation: autoDraw = True
43.5340 	DATA 	Keypress: space
43.7508 	DATA 	Keypress: space
43.9346 	DATA 	Keypress: space
44.1350 	DATA 	Keypress: space
45.1874 	DATA 	Keypress: space
45.2047 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.2052 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
45.2057 	EXP 	New trial (rep=0, index=0): None
45.2359 	EXP 	fixed_fixation: autoDraw = False
45.2359 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 1.7'
45.2359 	EXP 	feedback_score: autoDraw = True
45.4057 	DATA 	Keypress: space
46.2056 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
46.9911 	EXP 	New trial (rep=3, index=0): None
46.9911 	EXP 	window1: recordFrameIntervals = False
46.9912 	EXP 	window1: recordFrameIntervals = False
47.0065 	EXP 	feedback_score: autoDraw = False
47.0066 	EXP 	window1: recordFrameIntervals = False
47.8508 	EXP 	window1: recordFrameIntervals = False
47.8508 	WARNING 	We overshot the intended duration of ITI_isi by 0.3596s. The intervening code took too long to execute.
47.8514 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
47.8517 	EXP 	New trial (rep=0, index=0): None
47.8582 	EXP 	fixed_fixation: autoDraw = True
50.4320 	DATA 	Keypress: space
50.6164 	DATA 	Keypress: space
50.7834 	DATA 	Keypress: space
50.9837 	DATA 	Keypress: space
51.0000 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
51.0008 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
51.0012 	EXP 	New trial (rep=0, index=0): None
51.0316 	EXP 	fixed_fixation: autoDraw = False
51.0316 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 2.3'
51.0316 	EXP 	feedback_score: autoDraw = True
52.0016 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
52.7632 	EXP 	New trial (rep=4, index=0): None
52.7633 	EXP 	window1: recordFrameIntervals = False
52.7633 	EXP 	window1: recordFrameIntervals = False
52.7687 	EXP 	feedback_score: autoDraw = False
52.7688 	EXP 	window1: recordFrameIntervals = False
53.7283 	EXP 	window1: recordFrameIntervals = False
53.7283 	WARNING 	We overshot the intended duration of ITI_isi by 0.4649s. The intervening code took too long to execute.
