12.7536 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10f5ff320>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7537 	EXP 	window1: recordFrameIntervals = False
12.9088 	EXP 	window1: recordFrameIntervals = True
13.0926 	EXP 	window1: recordFrameIntervals = False
13.2438 	EXP 	Created instructions_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Here be the task', units=u'norm', win=Window(...), wrapWidth=1)
13.2489 	EXP 	Created fixed_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixed_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
13.2528 	EXP 	Created peak_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='peak_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
13.2635 	EXP 	Created feedback_score = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_score', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
13.2698 	EXP 	Created break_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='break_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
13.2929 	EXP 	instructions_txt: autoDraw = True
22.1979 	DATA 	Keypress: space
23.6617 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
24.4570 	EXP 	New trial (rep=0, index=0): None
24.4571 	EXP 	window1: recordFrameIntervals = False
24.4572 	EXP 	window1: recordFrameIntervals = False
24.4667 	EXP 	instructions_txt: autoDraw = False
24.4668 	EXP 	window1: recordFrameIntervals = False
25.7972 	EXP 	window1: recordFrameIntervals = False
25.7972 	WARNING 	We overshot the intended duration of ITI_isi by 0.8400s. The intervening code took too long to execute.
25.7978 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
25.7982 	EXP 	New trial (rep=0, index=0): None
25.8196 	EXP 	fixed_fixation: autoDraw = True
34.6568 	DATA 	Keypress: space
34.6731 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
34.6734 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
34.6737 	EXP 	New trial (rep=0, index=0): None
34.7052 	EXP 	fixed_fixation: autoDraw = False
34.7052 	EXP 	feedback_score: text = 'Your trial score is 1. \nYour total score is 1'
34.7052 	EXP 	feedback_score: autoDraw = True
34.8736 	DATA 	Keypress: space
35.6744 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
36.4718 	EXP 	New trial (rep=1, index=0): None
36.4718 	EXP 	window1: recordFrameIntervals = False
36.4719 	EXP 	window1: recordFrameIntervals = False
36.4923 	EXP 	feedback_score: autoDraw = False
36.4924 	EXP 	window1: recordFrameIntervals = False
37.5757 	EXP 	window1: recordFrameIntervals = False
37.5758 	WARNING 	We overshot the intended duration of ITI_isi by 0.6039s. The intervening code took too long to execute.
37.5763 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
37.5767 	EXP 	New trial (rep=0, index=0): None
37.5947 	EXP 	fixed_fixation: autoDraw = True
40.4694 	DATA 	Keypress: space
40.6528 	DATA 	Keypress: space
40.6697 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
40.6702 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
40.6706 	EXP 	New trial (rep=0, index=0): None
40.7012 	EXP 	fixed_fixation: autoDraw = False
40.7012 	EXP 	feedback_score: text = 'Your trial score is 0.8. \nYour total score is 1.8'
40.7012 	EXP 	feedback_score: autoDraw = True
40.7864 	DATA 	Keypress: space
41.6706 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
42.4872 	EXP 	New trial (rep=2, index=0): None
42.4873 	EXP 	window1: recordFrameIntervals = False
42.4873 	EXP 	window1: recordFrameIntervals = False
42.5052 	EXP 	feedback_score: autoDraw = False
42.5052 	EXP 	window1: recordFrameIntervals = False
43.5202 	EXP 	window1: recordFrameIntervals = False
43.5202 	WARNING 	We overshot the intended duration of ITI_isi by 0.5329s. The intervening code took too long to execute.
43.5208 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
43.5211 	EXP 	New trial (rep=0, index=0): None
43.5407 	EXP 	fixed_fixation: autoDraw = True
46.0319 	DATA 	Keypress: space
46.1311 	DATA 	Keypress: space
46.2990 	DATA 	Keypress: space
46.8671 	DATA 	Keypress: space
46.8832 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
46.8838 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
46.8843 	EXP 	New trial (rep=0, index=0): None
46.9145 	EXP 	fixed_fixation: autoDraw = False
46.9145 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 2.4'
46.9145 	EXP 	feedback_score: autoDraw = True
47.8844 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
48.6775 	EXP 	New trial (rep=3, index=0): None
48.6776 	EXP 	window1: recordFrameIntervals = False
48.6777 	EXP 	window1: recordFrameIntervals = False
48.6851 	EXP 	feedback_score: autoDraw = False
48.6852 	EXP 	window1: recordFrameIntervals = False
49.8099 	EXP 	window1: recordFrameIntervals = False
49.8099 	WARNING 	We overshot the intended duration of ITI_isi by 0.6322s. The intervening code took too long to execute.
49.8105 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
49.8111 	EXP 	New trial (rep=0, index=0): None
49.8207 	EXP 	fixed_fixation: autoDraw = True
52.2783 	DATA 	Keypress: space
52.4449 	DATA 	Keypress: space
52.5956 	DATA 	Keypress: space
52.7289 	DATA 	Keypress: space
53.0968 	DATA 	Keypress: space
53.1125 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
53.1130 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
53.1133 	EXP 	New trial (rep=0, index=0): None
53.1444 	EXP 	fixed_fixation: autoDraw = False
53.1444 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 3.0'
53.1444 	EXP 	feedback_score: autoDraw = True
53.2295 	DATA 	Keypress: space
54.1140 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
54.9043 	EXP 	New trial (rep=4, index=0): None
54.9044 	EXP 	window1: recordFrameIntervals = False
54.9044 	EXP 	window1: recordFrameIntervals = False
54.9149 	EXP 	feedback_score: autoDraw = False
54.9150 	EXP 	window1: recordFrameIntervals = False
56.3397 	EXP 	window1: recordFrameIntervals = False
56.3397 	WARNING 	We overshot the intended duration of ITI_isi by 0.9353s. The intervening code took too long to execute.
56.3405 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
56.3410 	EXP 	New trial (rep=0, index=0): None
56.3513 	EXP 	fixed_fixation: autoDraw = True
58.9083 	DATA 	Keypress: space
59.0753 	DATA 	Keypress: space
59.2597 	DATA 	Keypress: space
59.4095 	DATA 	Keypress: space
59.4269 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
59.4274 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
59.4279 	EXP 	New trial (rep=0, index=0): None
59.4579 	EXP 	fixed_fixation: autoDraw = False
59.4579 	EXP 	feedback_score: text = 'Your trial score is 0.6. \nYour total score is 3.6'
59.4579 	EXP 	feedback_score: autoDraw = True
59.5941 	DATA 	Keypress: space
60.4278 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
61.2392 	EXP 	New trial (rep=5, index=0): None
61.2393 	EXP 	window1: recordFrameIntervals = False
61.2393 	EXP 	window1: recordFrameIntervals = False
61.2450 	EXP 	feedback_score: autoDraw = False
61.2451 	EXP 	window1: recordFrameIntervals = False
62.0510 	EXP 	window1: recordFrameIntervals = False
62.0510 	WARNING 	We overshot the intended duration of ITI_isi by 0.3117s. The intervening code took too long to execute.
62.0516 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
62.0520 	EXP 	New trial (rep=0, index=0): None
62.0636 	EXP 	fixed_fixation: autoDraw = True
65.6069 	DATA 	Keypress: space
65.6228 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
65.6232 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
65.6236 	EXP 	New trial (rep=0, index=0): None
65.6545 	EXP 	fixed_fixation: autoDraw = False
65.6545 	EXP 	feedback_score: text = 'Your trial score is 0.9. \nYour total score is 4.5'
65.6545 	EXP 	feedback_score: autoDraw = True
65.7747 	DATA 	Keypress: space
65.9406 	DATA 	Keypress: space
66.6242 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
67.4339 	EXP 	New trial (rep=6, index=0): None
67.4340 	EXP 	window1: recordFrameIntervals = False
67.4340 	EXP 	window1: recordFrameIntervals = False
67.4416 	EXP 	feedback_score: autoDraw = False
67.4416 	EXP 	window1: recordFrameIntervals = False
68.3664 	EXP 	window1: recordFrameIntervals = False
68.3664 	WARNING 	We overshot the intended duration of ITI_isi by 0.4323s. The intervening code took too long to execute.
68.3670 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
68.3673 	EXP 	New trial (rep=0, index=0): None
68.3769 	EXP 	fixed_fixation: autoDraw = True
71.8859 	DATA 	Keypress: space
71.9024 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
71.9027 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
71.9031 	EXP 	New trial (rep=0, index=0): None
71.9345 	EXP 	fixed_fixation: autoDraw = False
71.9345 	EXP 	feedback_score: text = 'Your trial score is 0.9. \nYour total score is 5.4'
71.9345 	EXP 	feedback_score: autoDraw = True
72.0697 	DATA 	Keypress: space
72.2211 	DATA 	Keypress: space
72.3882 	DATA 	Keypress: space
72.9041 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
73.7022 	EXP 	New trial (rep=7, index=0): None
73.7023 	EXP 	window1: recordFrameIntervals = False
73.7023 	EXP 	window1: recordFrameIntervals = False
73.7216 	EXP 	feedback_score: autoDraw = False
73.7217 	EXP 	window1: recordFrameIntervals = False
74.7686 	EXP 	window1: recordFrameIntervals = False
74.7687 	WARNING 	We overshot the intended duration of ITI_isi by 0.5663s. The intervening code took too long to execute.
74.7692 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
74.7696 	EXP 	New trial (rep=0, index=0): None
74.7906 	EXP 	fixed_fixation: autoDraw = True
78.3356 	DATA 	Keypress: space
78.3666 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
78.3670 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
