11.6233 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10f453320>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.6234 	EXP 	window1: recordFrameIntervals = False
11.7927 	EXP 	window1: recordFrameIntervals = True
11.9766 	EXP 	window1: recordFrameIntervals = False
12.6504 	EXP 	Created instructions_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Here be the task', units=u'norm', win=Window(...), wrapWidth=1)
12.6556 	EXP 	Created fixed_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixed_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.6594 	EXP 	Created peak_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='peak_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.6703 	EXP 	Created feedback_score = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='feedback_score', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
12.6766 	EXP 	Created break_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='break_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
12.6945 	EXP 	instructions_txt: autoDraw = True
17.9751 	DATA 	Keypress: space
19.4981 	EXP 	Created sequence: random, trialTypes=1, nReps=100000, seed=None
20.3111 	EXP 	New trial (rep=0, index=0): None
20.3112 	EXP 	window1: recordFrameIntervals = False
20.3112 	EXP 	window1: recordFrameIntervals = False
20.3275 	EXP 	instructions_txt: autoDraw = False
20.3275 	EXP 	window1: recordFrameIntervals = False
20.9867 	EXP 	window1: recordFrameIntervals = False
20.9867 	WARNING 	We overshot the intended duration of ITI_isi by 0.1755s. The intervening code took too long to execute.
20.9873 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
20.9876 	EXP 	New trial (rep=0, index=0): None
20.9955 	EXP 	fixed_fixation: autoDraw = True
23.6697 	DATA 	Keypress: space
23.8531 	DATA 	Keypress: space
24.0703 	DATA 	Keypress: space
24.0869 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
24.0873 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
24.0876 	EXP 	New trial (rep=0, index=0): None
24.1189 	EXP 	fixed_fixation: autoDraw = False
24.1189 	EXP 	feedback_score: text = 'Your trial score is 0.8. \nYour total score is 0.8'
24.1189 	EXP 	feedback_score: autoDraw = True
24.2549 	DATA 	Keypress: space
24.4546 	DATA 	Keypress: space
25.0882 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
25.8915 	EXP 	New trial (rep=1, index=0): None
25.8916 	EXP 	window1: recordFrameIntervals = False
25.8916 	EXP 	window1: recordFrameIntervals = False
25.9060 	EXP 	feedback_score: autoDraw = False
25.9061 	EXP 	window1: recordFrameIntervals = False
27.0779 	EXP 	window1: recordFrameIntervals = False
27.0779 	WARNING 	We overshot the intended duration of ITI_isi by 0.6863s. The intervening code took too long to execute.
27.0785 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
27.0788 	EXP 	New trial (rep=0, index=0): None
27.0918 	EXP 	fixed_fixation: autoDraw = True
29.4151 	DATA 	Keypress: space
29.6155 	DATA 	Keypress: space
29.8326 	DATA 	Keypress: space
30.0498 	DATA 	Keypress: space
30.2667 	DATA 	Keypress: space
30.2833 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
30.2839 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
30.2843 	EXP 	New trial (rep=0, index=0): None
30.3153 	EXP 	fixed_fixation: autoDraw = False
30.3153 	EXP 	feedback_score: text = 'Your trial score is 0.5. \nYour total score is 1.3'
30.3153 	EXP 	feedback_score: autoDraw = True
30.4673 	DATA 	Keypress: space
31.2849 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
32.0817 	EXP 	New trial (rep=2, index=0): None
32.0818 	EXP 	window1: recordFrameIntervals = False
32.0819 	EXP 	window1: recordFrameIntervals = False
32.0857 	EXP 	feedback_score: autoDraw = False
32.0858 	EXP 	window1: recordFrameIntervals = False
32.7395 	EXP 	window1: recordFrameIntervals = False
32.7395 	WARNING 	We overshot the intended duration of ITI_isi by 0.1576s. The intervening code took too long to execute.
32.7401 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
32.7404 	EXP 	New trial (rep=0, index=0): None
32.7539 	EXP 	fixed_fixation: autoDraw = True
35.7954 	DATA 	Keypress: space
35.8117 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
35.8120 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
35.8123 	EXP 	New trial (rep=0, index=0): None
35.8439 	EXP 	fixed_fixation: autoDraw = False
35.8439 	EXP 	feedback_score: text = 'Your trial score is 0.9. \nYour total score is 2.2'
35.8439 	EXP 	feedback_score: autoDraw = True
36.0301 	DATA 	Keypress: space
36.8131 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
37.6197 	EXP 	New trial (rep=3, index=0): None
37.6198 	EXP 	window1: recordFrameIntervals = False
37.6198 	EXP 	window1: recordFrameIntervals = False
37.6310 	EXP 	feedback_score: autoDraw = False
37.6311 	EXP 	window1: recordFrameIntervals = False
38.3165 	EXP 	window1: recordFrameIntervals = False
38.3166 	WARNING 	We overshot the intended duration of ITI_isi by 0.1967s. The intervening code took too long to execute.
38.3171 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
38.3175 	EXP 	New trial (rep=0, index=0): None
38.3324 	EXP 	fixed_fixation: autoDraw = True
40.5387 	DATA 	Keypress: space
40.7558 	DATA 	Keypress: space
40.9395 	DATA 	Keypress: space
41.1400 	DATA 	Keypress: space
41.3571 	DATA 	Keypress: space
41.3736 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
41.3739 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
41.3742 	EXP 	New trial (rep=0, index=0): None
41.4058 	EXP 	fixed_fixation: autoDraw = False
41.4058 	EXP 	feedback_score: text = 'Your trial score is 0.5. \nYour total score is 2.7'
41.4058 	EXP 	feedback_score: autoDraw = True
41.5914 	DATA 	Keypress: space
42.3751 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
43.1690 	EXP 	New trial (rep=4, index=0): None
43.1691 	EXP 	window1: recordFrameIntervals = False
43.1691 	EXP 	window1: recordFrameIntervals = False
43.1761 	EXP 	feedback_score: autoDraw = False
43.1762 	EXP 	window1: recordFrameIntervals = False
43.8868 	EXP 	window1: recordFrameIntervals = False
43.8868 	WARNING 	We overshot the intended duration of ITI_isi by 0.2176s. The intervening code took too long to execute.
