task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,space,1.70466899872,,,,,,,,,,,,,,,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,0,0,0,0,None,,,left,0.419209003448,0.872790658203,2,4.77685904503,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,0,0,0,0,None,,,,,,,,,,,,,,,,,['left'],[0.41920900344848633],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,1,0,1,0,None,,,left,0.368630170822,0.550514177522,2,10.5888340473,1,2,2,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,1,0,1,0,None,,,,,,,,,,,,,,,,,['left'],[0.36863017082214355],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,2,0,2,0,None,,,left,0.217515945435,0.52408048911,2,16.1139302254,1,3,2,False,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,2,0,2,0,None,,,right,1.83904409409,0.52408048911,2,16.1139302254,1,3,2,False,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,2,0,2,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.2175159454345703, 1.8390440940856934]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,3,0,3,0,None,,,left,0.350992202759,1.42895799768,3,21.5147061348,1,4,3,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,3,0,3,0,None,,,right,2.84133815765,1.42895799768,3,21.5147061348,1,4,3,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,3,0,3,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.35099220275878906, 2.8413381576538086]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,4,0,4,0,None,,,left,0.335628032684,0.942981931529,3,28.9598691463,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,4,0,4,0,None,,,right,2.3228161335,0.942981931529,3,28.9598691463,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,4,0,4,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.33562803268432617, 2.3228161334991455]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,5,0,5,0,None,,,left,0.436069965363,0.637955497803,2,35.8663752079,1,6,5,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,5,0,5,0,None,,,,,,,,,,,,,,,,,['left'],[0.43606996536254883],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,6,0,6,0,None,,,left,0.736476182938,1.16975345529,3,41.5334641933,1,7,6,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,6,0,6,0,None,,,right,2.523209095,1.16975345529,3,41.5334641933,1,7,6,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,6,0,6,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.7364761829376221, 2.5232090950012207]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,7,0,7,0,None,,,left,0.385365009308,0.958570974187,3,48.2922301292,1,8,7,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,7,0,7,0,None,,,right,2.23926210403,0.958570974187,3,48.2922301292,1,8,7,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,7,0,7,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.38536500930786133, 2.239262104034424]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,8,0,8,0,None,,,left,0.301943063736,0.995386017316,2,54.801497221,1,9,8,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,8,0,8,0,None,,,,,,,,,,,,,,,,,['left'],[0.3019430637359619],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,9,0,9,0,None,,,left,0.401081085205,1.30754956182,3,60.3489010334,1,10,9,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,9,0,9,0,None,,,right,2.20585298538,1.30754956182,3,60.3489010334,1,10,9,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,9,0,9,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.4010810852050781, 2.20585298538208]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,10,0,10,0,None,,,left,0.268056869507,1.20555166286,3,67.2080321312,1,11,10,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,10,0,10,0,None,,,right,2.22224187851,1.20555166286,3,67.2080321312,1,11,10,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,10,0,10,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.26805686950683594, 2.2222418785095215]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,11,0,11,0,None,,,left,0.535713911057,1.15845161887,2,73.9389262199,1,12,11,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,11,0,11,0,None,,,,,,,,,,,,,,,,,['left'],[0.5357139110565186],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,12,0,12,0,None,,,left,0.552198886871,0.530150948355,2,79.6702771187,1,13,12,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,12,0,12,0,None,,,,,,,,,,,,,,,,,['left'],[0.5521988868713379],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,13,0,13,0,None,,,left,0.401065826416,0.791421786593,2,84.7605981827,1,14,13,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,13,0,13,0,None,,,,,,,,,,,,,,,,,['left'],[0.4010658264160156],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,14,0,14,0,None,,,left,0.40202999115,1.04661096399,3,90.1079421043,1,15,14,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,14,0,14,0,None,,,right,2.33946990967,1.04661096399,3,90.1079421043,1,15,14,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,14,0,14,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.40202999114990234, 2.3394699096679688]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,15,0,15,0,None,,,left,0.418735027313,1.07245950048,3,96.7822110653,1,16,15,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,15,0,15,0,None,,,right,2.52326703072,1.07245950048,3,96.7822110653,1,16,15,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,15,0,15,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.4187350273132324, 2.5232670307159424]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,16,0,16,0,None,,,left,0.318566083908,1.38103721603,2,103.417975187,1,17,16,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,16,0,16,0,None,,,,,,,,,,,,,,,,,['left'],[0.31856608390808105],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,17,0,17,0,None,,,left,0.350922822952,1.12812948833,3,109.450499058,1,18,17,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,17,0,17,0,None,,,right,2.65722584724,1.12812948833,3,109.450499058,1,18,17,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,17,0,17,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3509228229522705, 2.6572258472442627]",2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,18,0,18,0,None,,,left,0.301832199097,0.75091797844,2,116.200617075,1,19,18,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,18,0,18,0,None,,,,,,,,,,,,,,,,,['left'],[0.3018321990966797],2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
0,0,0,0,None,19,0,19,0,None,,,left,0.736468076706,0.738160127485,2,121.52080512,1,20,19,True,0.5,1,0,1,0,,,2016_Mar_16_1047,59.9678021692,switch_task,002,DMF,
