task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,space,1.88972806931,,,,,,,,,,,,,,,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,0,0,0,0,None,,,left,0.318512916565,0.762135189561,3,4.20271086693,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,0,0,0,0,None,,,right,2.13955807686,0.762135189561,3,4.20271086693,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,0,0,0,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3185129165649414, 2.1395580768585205]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,1,0,1,0,None,,,left,1.03711295128,0.732333580773,3,10.4506130219,1,2,1,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,1,0,1,0,None,,,,,,,,,,,,,,,,,['left'],[1.0371129512786865],2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,2,0,2,0,None,,,left,0.251574993134,0.865425810304,3,16.6101589203,1,3,2,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,2,0,2,0,None,,,right,2.18862009048,0.865425810304,3,16.6101589203,1,3,2,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,2,0,2,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.2515749931335449, 2.188620090484619]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,3,0,3,0,None,,,left,0.20152592659,0.676001685477,2,22.910984993,1,4,3,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,3,0,3,0,None,,,,,,,,,,,,,,,,,['left'],[0.20152592658996582],2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,4,0,4,0,None,,,left,0.452327013016,1.37061221012,3,28.0265159607,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,4,0,4,0,None,,,right,2.85668516159,1.37061221012,3,28.0265159607,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,4,0,4,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.45232701301574707, 2.856685161590576]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,5,0,5,0,None,,,left,0.836592197418,0.828469493536,3,34.835226059,1,6,4,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,5,0,5,0,None,,,,,,,,,,,,,,,,,['left'],[0.8365921974182129],2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,6,0,6,0,None,,,left,0.0516068935394,0.840591314762,3,41.080728054,1,7,5,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,6,0,6,0,None,,,right,2.28839588165,0.840591314762,3,41.080728054,1,7,5,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,6,0,6,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.05160689353942871, 2.288395881652832]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,7,0,7,0,None,,,left,0.0694329738617,1.32362693041,3,47.3720910549,1,8,6,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,7,0,7,0,None,,,right,1.95588994026,1.32362693041,3,47.3720910549,1,8,6,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,7,0,7,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.06943297386169434, 1.9558899402618408]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,8,0,8,0,None,,,left,0.802309036255,1.15629696784,3,54.1018350124,1,9,7,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,8,0,8,0,None,,,right,2.42318511009,1.15629696784,3,54.1018350124,1,9,7,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,8,0,8,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.8023090362548828, 2.423185110092163]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,9,0,9,0,None,,,left,0.435142040253,1.11591576927,3,60.6748309135,1,10,8,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,9,0,9,0,None,,,right,2.80647492409,1.11591576927,3,60.6748309135,1,10,8,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,9,0,9,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.43514204025268555, 2.8064749240875244]",2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,10,0,10,0,None,,,left,0.603943109512,1.31216906711,2,67.1976430416,1,11,9,True,0.5,1,0,1,0,,,2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
0,0,0,0,None,10,0,10,0,None,,,,,,,,,,,,,,,,,['left'],[0.6039431095123291],2016_Mar_16_1054,60.0113890328,switch_task,002,FB,
