trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.988873004913,1.39120448688,2,0.00124311447144,1,1,1,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
0,0,0,0,,,,,,,,,,['left'],[0.9888730049133301],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
1,0,1,0,left,0.569146156311,0.60088431267,2,4.40970897675,1,2,2,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
1,0,1,0,,,,,,,,,,['left'],[0.5691461563110352],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
2,0,2,0,left,0.451041936874,0.886086899102,2,8.01839208603,1,3,3,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
2,0,2,0,,,,,,,,,,['left'],[0.45104193687438965],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
3,0,3,0,left,0.28520989418,1.46680457117,2,11.909692049,1,4,3,False,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
3,0,3,0,right,1.38895797729,1.46680457117,2,11.909692049,1,4,3,False,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
3,0,3,0,,,,,,,,,,"['left', 'right']","[0.28520989418029785, 1.3889579772949219]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
4,0,4,0,left,0.266906023026,1.25616284737,3,16.3855099678,1,5,4,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
4,0,4,0,right,2.87384700775,1.25616284737,3,16.3855099678,1,5,4,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
4,0,4,0,,,,,,,,,,"['left', 'right']","[0.2669060230255127, 2.873847007751465]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
5,0,5,0,left,0.317440032959,0.81303240249,2,21.6467499733,1,6,5,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
5,0,5,0,,,,,,,,,,['left'],[0.3174400329589844],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
6,0,6,0,left,0.318423032761,1.12325955734,3,25.4714450836,1,7,6,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
6,0,6,0,right,1.97197794914,1.12325955734,3,25.4714450836,1,7,6,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
6,0,6,0,,,,,,,,,,"['left', 'right']","[0.3184230327606201, 1.971977949142456]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
7,0,7,0,left,0.318564891815,0.904948206095,3,30.5994169712,1,8,7,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
7,0,7,0,right,2.6900138855,0.904948206095,3,30.5994169712,1,8,7,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
7,0,7,0,,,,,,,,,,"['left', 'right']","[0.31856489181518555, 2.690013885498047]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
8,0,8,0,left,0.384809017181,0.572798741554,3,35.5097780228,1,9,8,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
8,0,8,0,right,2.17198109627,0.572798741554,3,35.5097780228,1,9,8,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
8,0,8,0,,,,,,,,,,"['left', 'right']","[0.3848090171813965, 2.1719810962677]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
9,0,9,0,left,0.434413909912,1.14200428626,3,40.1034710407,1,10,9,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
9,0,9,0,right,1.88737392426,1.14200428626,3,40.1034710407,1,10,9,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
9,0,9,0,,,,,,,,,,"['left', 'right']","[0.4344139099121094, 1.887373924255371]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
10,0,10,0,left,0.418585062027,0.978874836532,2,45.2640941143,1,11,10,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
10,0,10,0,,,,,,,,,,['left'],[0.41858506202697754],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
11,0,11,0,left,0.300734996796,1.3785144545,2,49.2560901642,1,12,11,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
11,0,11,0,,,,,,,,,,['left'],[0.3007349967956543],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
12,0,12,0,left,0.26736497879,1.00562295548,2,53.6485869884,1,13,12,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
12,0,12,0,,,,,,,,,,['left'],[0.2673649787902832],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
13,0,13,0,right,0.751858949661,0.685096179785,3,57.6742630005,1,14,13,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
13,0,13,0,,,,,,,,,,['right'],[0.7518589496612549],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
14,0,14,0,nan,nan,1.46298634467,3,62.3674340248,1,15,13,False,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
14,0,14,0,,,,,,,,,,[nan],[nan],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
15,0,15,0,left,0.333493947983,1.41813265841,2,67.8459320068,1,16,14,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
15,0,15,0,,,,,,,,,,['left'],[0.3334939479827881],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
16,0,16,0,left,0.334558963776,1.39472069962,2,72.2713770866,1,17,15,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
