task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,space,3.00582313538,,,,,,,,,,,,,,,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,0,0,0,0,None,,,left,0.985525131226,1.01067950416,2,5.49568200111,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,0,0,0,0,None,,,,,,,,,,,,,,,,,['left'],[0.9855251312255859],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,1,0,1,0,None,,,left,0.334930896759,1.39553063197,2,11.0611381531,1,2,1,False,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,1,0,1,0,None,,,right,1.88827896118,1.39553063197,2,11.0611381531,1,2,1,False,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,1,0,1,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3349308967590332, 1.8882789611816406]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,2,0,2,0,None,,,left,1.02018690109,1.12038912958,2,16.951002121,1,3,2,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,2,0,2,0,None,,,,,,,,,,,,,,,,,['left'],[1.0201869010925293],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,3,0,3,0,None,,,left,0.436483860016,0.829757148522,2,22.5714921951,1,4,3,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,3,0,3,0,None,,,,,,,,,,,,,,,,,['left'],[0.43648386001586914],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,4,0,4,0,None,,,left,0.385190963745,0.987862730452,3,27.9217200279,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,4,0,4,0,None,,,right,2.63998603821,0.987862730452,3,27.9217200279,1,5,4,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,4,0,4,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3851909637451172, 2.639986038208008]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,5,0,5,0,None,,,left,0.502454996109,0.75735292903,3,34.399214983,1,6,5,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,5,0,5,0,None,,,right,2.70897388458,0.75735292903,3,34.399214983,1,6,5,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,5,0,5,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.5024549961090088, 2.7089738845825195]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
