trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.770308017731,0.752913883909,2,0.00144600868225,1,1,1,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
0,0,0,0,,,,,,,,,,['left'],[0.7703080177307129],2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
1,0,1,0,left,0.536854028702,1.31826654388,2,3.77303314209,1,2,1,False,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
1,0,1,0,right,1.88731002808,1.31826654388,2,3.77303314209,1,2,1,False,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
1,0,1,0,,,,,,,,,,"['left', 'right']","[0.5368540287017822, 1.8873100280761719]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
2,0,2,0,left,0.751018047333,1.10520443064,2,8.0983171463,1,3,2,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
2,0,2,0,,,,,,,,,,['left'],[0.7510180473327637],2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
3,0,3,0,left,0.468528032303,1.13673945305,2,12.2082941532,1,4,3,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
3,0,3,0,,,,,,,,,,['left'],[0.46852803230285645],2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
4,0,4,0,left,0.250702857971,1.49168239451,3,16.3497099876,1,5,4,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
4,0,4,0,right,1.90466785431,1.49168239451,3,16.3497099876,1,5,4,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
4,0,4,0,,,,,,,,,,"['left', 'right']","[0.2507028579711914, 1.904667854309082]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
5,0,5,0,left,0.585516929626,0.545811420268,3,21.8452119827,1,6,5,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
5,0,5,0,right,2.17162680626,0.545811420268,3,21.8452119827,1,6,5,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
5,0,5,0,,,,,,,,,,"['left', 'right']","[0.5855169296264648, 2.1716268062591553]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
6,0,6,0,left,0.301131010056,0.921899721591,3,26.4056069851,1,7,6,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
6,0,6,0,right,1.97253704071,0.921899721591,3,26.4056069851,1,7,6,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
6,0,6,0,,,,,,,,,,"['left', 'right']","[0.301131010055542, 1.9725370407104492]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
7,0,7,0,left,0.986735105515,0.995543588298,3,31.3322401047,1,8,7,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
7,0,7,0,right,2.87551021576,0.995543588298,3,31.3322401047,1,8,7,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
7,0,7,0,,,,,,,,,,"['left', 'right']","[0.9867351055145264, 2.8755102157592773]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
8,0,8,0,left,0.935663938522,0.95361803696,3,36.3433861732,1,9,7,False,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
8,0,8,0,,,,,,,,,,['left'],[0.9356639385223389],2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
9,0,9,0,left,0.534759998322,1.21037669187,2,41.3030650616,1,10,8,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
9,0,9,0,,,,,,,,,,['left'],[0.5347599983215332],2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
10,0,10,0,left,0.518321990967,0.533636093931,3,45.5296680927,1,11,9,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
10,0,10,0,right,2.00482296944,0.533636093931,3,45.5296680927,1,11,9,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
10,0,10,0,,,,,,,,,,"['left', 'right']","[0.5183219909667969, 2.0048229694366455]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
11,0,11,0,left,1.06910991669,0.608331699998,3,50.0723061562,1,12,10,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
11,0,11,0,right,1.97222685814,0.608331699998,3,50.0723061562,1,12,10,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
11,0,11,0,,,,,,,,,,"['left', 'right']","[1.0691099166870117, 1.972226858139038]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
12,0,12,0,left,0.201450109482,0.703487018702,2,54.6992909908,1,13,10,False,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
12,0,12,0,right,1.7211689949,0.703487018702,2,54.6992909908,1,13,10,False,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
12,0,12,0,,,,,,,,,,"['left', 'right']","[0.20145010948181152, 1.7211689949035645]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
13,0,13,0,left,0.583690881729,0.774083083619,3,58.4228479862,1,14,11,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
13,0,13,0,right,2.27129888535,0.774083083619,3,58.4228479862,1,14,11,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
13,0,13,0,,,,,,,,,,"['left', 'right']","[0.583690881729126, 2.271298885345459]",2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
14,0,14,0,left,0.384699106216,0.668281569409,3,63.2175719738,1,15,12,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
14,0,14,0,right,2.03776693344,0.668281569409,3,63.2175719738,1,15,12,True,,,2016_Mar_15_1453,59.8462146517,switch_task,002,FB,
