task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,space,5.12446308136,,,,,,,,,,,,,,,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,0,0,0,0,None,,,left,0.167107105255,1.22487988248,3,7.4006280899,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,0,0,0,0,None,,,right,2.22131800652,1.22487988248,3,7.4006280899,1,1,1,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,0,0,0,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.16710710525512695, 2.221318006515503]",2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,1,0,1,0,None,,,left,0.585822105408,1.00234382414,2,14.1215751171,1,2,2,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,1,0,1,0,None,,,,,,,,,,,,,,,,,['left'],[0.5858221054077148],2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,2,0,2,0,None,,,left,0.201238870621,1.33563684387,3,19.5401289463,1,3,3,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,2,0,2,0,None,,,right,2.57344508171,1.33563684387,3,19.5401289463,1,3,3,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,2,0,2,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.20123887062072754, 2.5734450817108154]",2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
0,0,0,0,None,3,0,3,0,None,,,left,0.0844101905823,1.21612274466,3,26.3165581226,1,4,4,True,0.5,1,0,1,0,,,2016_Mar_16_1050,59.7868412913,switch_task,001,FB,
